word,meaning
antelopes,graceful Old World ruminant with long legs and horns directed upward and backward; includes gazelles; springboks; impalas; addax; gerenuks; blackbucks; dik-diks
antemeridian,before noon
antenatal,occurring or existing before birth
antenna,an electrical device that sends or receives radio or television signals
antennae,an electrical device that sends or receives radio or television signals
antennas,an electrical device that sends or receives radio or television signals
antenuptial,relating to events before a marriage
antepenult,the 3rd syllable of a word counting back from the end
antepenultimate,the 3rd syllable of a word counting back from the end
antepenults,the 3rd syllable of a word counting back from the end
anterior,a tooth situated at the front of the mouth
anteroom,a large entrance or reception room or area
anterooms,a large entrance or reception room or area
antes,(poker
anthem,a song of devotion or loyalty (as to a nation or school
anthems,a song of devotion or loyalty (as to a nation or school
anther,the part of the stamen that contains pollen; usually borne on a stalk
anthers,the part of the stamen that contains pollen; usually borne on a stalk
anthill,a mound of earth made by ants as they dig their nest
anthills,a mound of earth made by ants as they dig their nest
anthologies,a collection of selected literary passages
anthologise,compile an anthology
anthologised,compile an anthology
anthologises,compile an anthology
anthologising,compile an anthology
anthologist,an editor who makes selections for an anthology
anthologists,an editor who makes selections for an anthology
anthologize,compile an anthology
anthologized,compile an anthology
anthologizes,compile an anthology
anthologizing,compile an anthology
anthology,a collection of selected literary passages
anthony,Roman general under Julius Caesar in the Gallic wars; repudiated his wife for the Egyptian queen Cleopatra; they were defeated by Octavian at Actium (83-30 BC
anthracite,a hard natural coal that burns slowly and gives intense heat
anthrax,a highly infectious animal disease (especially cattle and sheep
anthropocentric,human-centered
anthropoid,person who resembles a nonhuman primate
anthropoids,person who resembles a nonhuman primate
anthropological,of or concerned with the science of anthropology
anthropologically,not found
anthropologist,a social scientist who specializes in anthropology
anthropologists,a social scientist who specializes in anthropology
anthropology,the social science that studies the origins and social relationships of human beings
anthropometries,measurement and study of the human body and its parts and capacities
anthropometry,measurement and study of the human body and its parts and capacities
anthropomorphic,suggesting human characteristics for animals or inanimate things
anthropomorphism,the representation of objects (especially a god
anthropomorphous,suggesting human characteristics for animals or inanimate things
anti,a person who is opposed (to an action or policy or practice etc.
antibacterial,any drug that destroys bacteria or inhibits their growth
antiballistic,not found
antibes,not found
antibiosis,an association between organisms that is harmful to one of them or between organisms and a metabolic product of another
antibiotic,a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections
antibiotics,a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections
antibodies,"any of a large variety of proteins normally present in the body or produced in response to an antigen which it neutralizes, thus producing an immune response"
antibody,"any of a large variety of proteins normally present in the body or produced in response to an antigen which it neutralizes, thus producing an immune response"
antic,a ludicrous or grotesque act done for fun and amusement
antichrist,(Christianity
anticipant,one who anticipates
anticipate,regard something as probable or likely
anticipated,regard something as probable or likely
anticipates,regard something as probable or likely
anticipating,regard something as probable or likely
anticipation,an expectation
anticipator,one who anticipates
anticipators,one who anticipates
anticipatory,in anticipation
anticlerical,not found
anticlericalism,not found
anticlimactic,of or relating to a sudden change from an impressive to a ludicrous style
anticlimactically,not found
anticlimax,a disappointing decline after a previous rise
anticlimaxes,a disappointing decline after a previous rise
anticline,not found
anticlines,not found
anticlockwise,in the direction opposite to the rotation of the hands of a clock
anticoagulant,medicine that prevents or retards the clotting of blood
anticoagulants,medicine that prevents or retards the clotting of blood
anticoagulation,the administration of an anticoagulant drug to retard coagulation of the blood
anticorrosive,not found
antics,a ludicrous or grotesque act done for fun and amusement
anticyclone,(meteorology
anticyclones,(meteorology
antidepressant,any of a class of drugs used to treat depression; often have undesirable side effects
antidepressants,any of a class of drugs used to treat depression; often have undesirable side effects
antidote,a remedy that stops or controls the effects of a poison
antidotes,a remedy that stops or controls the effects of a poison
antifreeze,a liquid added to the water in a cooling system to lower its freezing point
antigen,any substance (as a toxin or enzyme
antigenic,of or relating to antigens
antigens,any substance (as a toxin or enzyme
antigraphy,not found
antigua,the largest of the islands comprising Antigua and Barbuda
antigun,not found
antihero,a protagonist who lacks the characteristics that would make him a hero (or her a heroine
antiheroes,a protagonist who lacks the characteristics that would make him a hero (or her a heroine
antihistamine,a medicine used to treat allergies and hypersensitive reactions and colds; works by counteracting the effects of histamine on a receptor site
antihistamines,a medicine used to treat allergies and hypersensitive reactions and colds; works by counteracting the effects of histamine on a receptor site
antiknock,any of various compounds that are added to gasoline to reduce engine knocking
antiknocks,any of various compounds that are added to gasoline to reduce engine knocking
antilles,a group of islands in the West Indies
antilogarithm,the number of which a given number is the logarithm
antilogarithms,the number of which a given number is the logarithm
antimacassar,a piece of ornamented cloth that protects the back of a chair from hair oils
antimacassars,a piece of ornamented cloth that protects the back of a chair from hair oils
antimony,a metallic element having four allotropic forms; used in a wide variety of alloys; found in stibnite
antineutrino,the antiparticle of a neutrino
antineutrinos,the antiparticle of a neutrino
antineutron,the antiparticle of a neutron
antineutrons,the antiparticle of a neutron
antinomies,a contradiction between two statements that seem equally reasonable
antinomy,a contradiction between two statements that seem equally reasonable
antioxidant,substance that inhibits oxidation or inhibits reactions promoted by oxygen or peroxides
antioxidants,substance that inhibits oxidation or inhibits reactions promoted by oxygen or peroxides
antiparticle,a particle that has the same mass as another particle but has opposite values for its other properties; interaction of a particle and its antiparticle results in annihilation and the production of radiant energy
antiparticles,a particle that has the same mass as another particle but has opposite values for its other properties; interaction of a particle and its antiparticle results in annihilation and the production of radiant energy
antipasti,a course of appetizers in an Italian meal
antipasto,a course of appetizers in an Italian meal
antipastos,a course of appetizers in an Italian meal
antipathetic,(usually followed by `to'
antipathies,a feeling of intense dislike
antipathy,a feeling of intense dislike
antiperspirant,an astringent substance applied to the skin to reduce perspiration
antiperspirants,an astringent substance applied to the skin to reduce perspiration
antiphon,a verse or song to be chanted or sung in response
antiphonal,bound collection of antiphons
antiphonies,alternate (responsive
antiphons,a verse or song to be chanted or sung in response
antiphony,alternate (responsive
antiphrasis,the use of a word in a sense opposite to its normal sense (especially in irony
antipodal,the relation of opposition along a diameter
antipode,direct opposite
antipodes,direct opposite
antipolice,not found
antiproton,an unstable negatively charged proton; the antiparticle of a proton
antiprotons,an unstable negatively charged proton; the antiparticle of a proton
antipyretic,any medicine that lowers body temperature to prevent or alleviate fever
antipyretics,any medicine that lowers body temperature to prevent or alleviate fever
antiquarian,an expert or collector of antiquities
antiquarians,an expert or collector of antiquities
antiquaries,an expert or collector of antiquities
antiquary,an expert or collector of antiquities
antiquate,make obsolete or old-fashioned
antiquated,make obsolete or old-fashioned
antiquates,make obsolete or old-fashioned
antiquating,make obsolete or old-fashioned
antiquation,not found
antique,an elderly man
antiques,an elderly man
antiquities,the historic period preceding the Middle Ages in Europe
antiquity,the historic period preceding the Middle Ages in Europe
antiriot,not found
antis,a person who is opposed (to an action or policy or practice etc.
antisepsis,(of non-living objects
antiseptic,a substance that destroys micro-organisms that carry disease without harming body tissues
antiseptically,not found
antiseptics,a substance that destroys micro-organisms that carry disease without harming body tissues
antiserum,blood serum containing antibodies against specific antigens; provides immunity to a disease
antiserums,blood serum containing antibodies against specific antigens; provides immunity to a disease
antislavery,not found
antisocial,shunning contact with others
antisocially,not found
antispasmodic,a drug used to relieve or prevent spasms (especially of the smooth muscles
antistatic,not found
antisubmarine,defensive against enemy submarines
antitank,designed for defense against armored vehicles
antitheft,not found
antitheses,exact opposite
antithesis,exact opposite
antithetical,sharply contrasted in character or purpose
antithetically,Not found
antitoxin,an antibody that can neutralize a specific toxin
antitoxins,an antibody that can neutralize a specific toxin
antitrust,of laws and regulations; designed to protect trade and commerce from unfair business practices
antivenin,an antitoxin that counteracts the effects of venom from the bite of a snake or insect or other animal
antivenins,an antitoxin that counteracts the effects of venom from the bite of a snake or insect or other animal
antivivisection,not found
antiwar,not found
antler,deciduous horn of a member of the deer family
antlered,having antlers
antlers,deciduous horn of a member of the deer family
antoine,not found
antoinette,not found
anton,not found
antonio,not found
antonomasia,not found
antony,Roman general under Julius Caesar in the Gallic wars; repudiated his wife for the Egyptian queen Cleopatra; they were defeated by Octavian at Actium (83-30 BC
antonym,"a word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms of each other"
antonymous,of words: having opposite meanings
antonyms,"a word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms of each other"
antrim,not found
ants,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
antwerp,a busy port and financial center in northern Belgium on the Scheldt river; it has long been a center for the diamond industry and the first stock exchange was opened there in 1460
anus,Babylonian god of the sky; one of the supreme triad including Bel and Ea
anuses,the excretory opening at the end of the alimentary canal
anvil,a heavy block of iron or steel on which hot metals are shaped by hammering
anvils,a heavy block of iron or steel on which hot metals are shaped by hammering
anxieties,(psychiatry
anxiety,(psychiatry
anxious,eagerly desirous
anxiously,Not found
anxiousness,(psychiatry
any,one or some or every or all without specification
anybody,not found
anyhow,Not found
anymore,Not found
anyone,not found
anyplace,Not found
anything,not found
anytime,not found
anyway,Not found
anywhere,Not found
anywise,not found
ao,not found
aorta,the large trunk artery that carries blood from the left ventricle of the heart to branch arteries
aortal,of or relating to the aorta
aortas,the large trunk artery that carries blood from the left ventricle of the heart to branch arteries
aortic,of or relating to the aorta
aoudad,wild sheep of northern Africa
aoudads,wild sheep of northern Africa
apace,Not found
apache,any member of Athapaskan tribes that migrated to the southwestern desert (from Arizona to Texas and south into Mexico
apaches,any member of Athapaskan tribes that migrated to the southwestern desert (from Arizona to Texas and south into Mexico
apanage,any customary and rightful perquisite appropriate to your station in life
apanages,any customary and rightful perquisite appropriate to your station in life
apart,remote and separate physically or socially
apartheid,a social policy or racial segregation involving political and economic and legal discrimination against people who are not Whites; the former official policy in South Africa
apartment,a suite of rooms usually on one floor of an apartment house
apartments,a suite of rooms usually on one floor of an apartment house
apathetic,showing little or no emotion or animation
apathetically,Not found
apathy,an absence of emotion or enthusiasm
ape,any of various primates with short tails or no tail at all
aped,imitate uncritically and in every aspect
apennine,not found
apennines,a mountain range extending the length of the Italian peninsula
aperitif,alcoholic beverage taken before a meal as an appetizer
aperitifs,alcoholic beverage taken before a meal as an appetizer
aperture,a device that controls amount of light admitted
apertures,a device that controls amount of light admitted
apes,any of various primates with short tails or no tail at all
apex,the highest point (of something
apexes,the highest point (of something
aphasia,inability to use or understand language (spoken or written
aphasiac,not found
aphasic,someone affected by aphasia or inability to use or understand language
aphasics,someone affected by aphasia or inability to use or understand language
aphelia,apoapsis in solar orbit; the point in the orbit of a planet or comet that is at the greatest distance from the sun
aphelion,apoapsis in solar orbit; the point in the orbit of a planet or comet that is at the greatest distance from the sun
aphid,any of various small plant-sucking insects
aphids,any of various small plant-sucking insects
aphis,type genus of the Aphididae: injurious to fruit trees and vegetables
aphonia,a disorder of the vocal organs that results in the loss of voice
aphorise,speak or write in aphorisms
aphorised,speak or write in aphorisms
aphorises,speak or write in aphorisms
aphorising,speak or write in aphorisms
aphorism,a short pithy instructive saying
aphorisms,a short pithy instructive saying
aphoristic,containing aphorisms or maxims
aphoristically,not found
aphorize,speak or write in aphorisms
aphorized,speak or write in aphorisms
aphorizes,speak or write in aphorisms
aphorizing,speak or write in aphorisms
aphrodisiac,a drug or other agent that stimulates sexual desire
aphrodisiacs,a drug or other agent that stimulates sexual desire
aphrodite,goddess of love and beauty and daughter of Zeus in ancient mythology; identified with Roman Venus
apia,the capital of Western Samoa
apiaries,a shed containing a number of beehives
apiarist,a farmer who keeps bees for their honey
apiarists,a farmer who keeps bees for their honey
apiary,a shed containing a number of beehives
apical,situated at an apex
apices,the highest point (of something
apiculture,the cultivation of bees on a commercial scale for the production of honey
apiece,Not found
aping,imitate uncritically and in every aspect
apis,type genus of the Apidae: honeybees
apish,being or given to servile imitation
apishly,not found
aplenty,not found
aplomb,great coolness and composure under strain
apnea,transient cessation of respiration
apneas,transient cessation of respiration
apnoea,not found
apnoeas,not found
apocalypse,a cosmic cataclysm in which God destroys the ruling powers of evil
apocalypses,a cosmic cataclysm in which God destroys the ruling powers of evil
apocalyptic,prophetic of devastation or ultimate doom
apocrypha,14 books of the Old Testament included in the Vulgate (except for II Esdras
apocryphal,being of questionable authenticity
apogean,relating to or characteristic of an apogee
apogee,a final climactic stage
apogees,a final climactic stage
apolitical,politically neutral
apolitically,not found
apollo,(Greek mythology
apologetic,offering or expressing apology
apologetically,Not found
apologetics,the branch of theology that is concerned with the defense of Christian doctrines
apologia,a formal written defense of something you believe in strongly
apologias,a formal written defense of something you believe in strongly
apologies,an expression of regret at having caused trouble for someone
apologise,"defend, explain, clear away, or make excuses for by reasoning"
apologised,"defend, explain, clear away, or make excuses for by reasoning"
apologises,"defend, explain, clear away, or make excuses for by reasoning"
apologising,"defend, explain, clear away, or make excuses for by reasoning"
apologist,a person who argues to defend or justify some policy or institution
apologists,a person who argues to defend or justify some policy or institution
apologize,acknowledge faults or shortcomings or failing
apologized,acknowledge faults or shortcomings or failing
apologizes,acknowledge faults or shortcomings or failing
apologizing,acknowledge faults or shortcomings or failing
apology,an expression of regret at having caused trouble for someone
apophthegm,a short pithy instructive saying
apophthegms,a short pithy instructive saying
apoplectic,pertaining to or characteristic of apoplexy
apoplectically,not found
apoplexy,a sudden loss of consciousness resulting when the rupture or occlusion of a blood vessel leads to oxygen lack in the brain
apostasies,the state of having rejected your religious beliefs or your political party or a cause (often in favor of opposing beliefs or causes
apostasy,the state of having rejected your religious beliefs or your political party or a cause (often in favor of opposing beliefs or causes
apostate,a disloyal person who betrays or deserts his cause or religion or political party or friend etc.
apostates,a disloyal person who betrays or deserts his cause or religion or political party or friend etc.
apostatise,abandon one's beliefs or allegiances
apostatised,abandon one's beliefs or allegiances
apostatises,abandon one's beliefs or allegiances
apostatising,abandon one's beliefs or allegiances
apostatize,abandon one's beliefs or allegiances
apostatized,abandon one's beliefs or allegiances
apostatizes,abandon one's beliefs or allegiances
apostatizing,abandon one's beliefs or allegiances
apostle,an ardent early supporter of a cause or reform
apostles,an ardent early supporter of a cause or reform
apostolic,of or relating to or deriving from the Apostles or their teachings
apostrophe,address to an absent or imaginary person
apostrophes,address to an absent or imaginary person
apostrophise,use an apostrophe
apostrophised,use an apostrophe
apostrophises,use an apostrophe
apostrophising,use an apostrophe
apostrophize,use an apostrophe
apostrophized,use an apostrophe
apostrophizes,use an apostrophe
apostrophizing,use an apostrophe
apothecaries,a health professional trained in the art of preparing and dispensing drugs
apothecary,a health professional trained in the art of preparing and dispensing drugs
apothem,not found
apothems,not found
apotheoses,model of excellence or perfection of a kind; one having no equal
apotheosis,model of excellence or perfection of a kind; one having no equal
apotheosise,deify or glorify
apotheosised,deify or glorify
apotheosises,model of excellence or perfection of a kind; one having no equal
apotheosising,deify or glorify
apotheosize,deify or glorify
apotheosized,deify or glorify
apotheosizes,deify or glorify
apotheosizing,deify or glorify
appal,strike with disgust or revulsion
appalachia,an impoverished coal mining area in the Appalachian Mountains (from Pennsylvania to North Carolina
appalachian,a native or inhabitant of Appalachia
appalachians,a native or inhabitant of Appalachia
appall,strike with disgust or revulsion
appalled,strike with disgust or revulsion
appalling,an experience that appalls
appallingly,Not found
appalls,strike with disgust or revulsion
appaloosa,a hardy breed of saddle horse developed in western North America and characteristically having a spotted rump
appaloosas,a hardy breed of saddle horse developed in western North America and characteristically having a spotted rump
appals,strike with disgust or revulsion
appanage,any customary and rightful perquisite appropriate to your station in life
appanages,any customary and rightful perquisite appropriate to your station in life
apparatus,equipment designed to serve a specific function
apparatuses,equipment designed to serve a specific function
apparel,clothing in general
appareled,provide with clothes or put clothes on
appareling,provide with clothes or put clothes on
apparelled,provide with clothes or put clothes on
apparelling,provide with clothes or put clothes on
apparels,clothing in general
apparent,clearly revealed to the mind or the senses or judgment
apparently,Not found
apparition,a ghostly appearing figure
apparitions,a ghostly appearing figure
appeal,earnest or urgent request
appealable,capable of being appealed especially to a higher tribunal
appealed,take a court case to a higher court for review
appealing,take a court case to a higher court for review
appealingly,Not found
appeals,earnest or urgent request
appear,give a certain impression or have a certain outward aspect
appearance,outward or visible aspect of a person or thing
appearances,outward or visible aspect of a person or thing
appeared,give a certain impression or have a certain outward aspect
appearing,formal attendance (in court or at a hearing
appears,give a certain impression or have a certain outward aspect
appease,cause to be more favorably inclined; gain the good will of
appeased,cause to be more favorably inclined; gain the good will of
appeasement,the act of appeasing (as by acceding to the demands of
appeaser,someone who tries to bring peace by acceding to demands
appeasers,someone who tries to bring peace by acceding to demands
appeases,cause to be more favorably inclined; gain the good will of
appeasing,cause to be more favorably inclined; gain the good will of
appellant,the party who appeals a decision of a lower court
appellants,the party who appeals a decision of a lower court
appellate,of or relating to or taking account of appeals (usually legal appeals
appellation,identifying word or words by which someone or something is called and classified or distinguished from others
appellations,identifying word or words by which someone or something is called and classified or distinguished from others
appellees,not found
append,add to the very end
appendage,an external body part that projects from the body
appendages,an external body part that projects from the body
appendant,affixed as an appendage
appendants,not found
appendectomies,surgical removal of the vermiform appendix
appendectomy,surgical removal of the vermiform appendix
appended,add to the very end
appendices,supplementary material that is collected and appended at the back of a book
appendicitis,inflammation of the vermiform appendix
appending,add to the very end
appendix,supplementary material that is collected and appended at the back of a book
appendixes,supplementary material that is collected and appended at the back of a book
appends,add to the very end
apperception,the process whereby perceived qualities of an object are related to past experience
appertain,be a part or attribute of
appertained,be a part or attribute of
appertaining,be a part or attribute of
appertains,be a part or attribute of
appestat,not found
appestats,not found
appetiser,food or drink to stimulate the appetite (usually served before a meal or as the first course
appetisers,food or drink to stimulate the appetite (usually served before a meal or as the first course
appetising,appealing to or stimulating the appetite especially in appearance or aroma
appetisingly,not found
appetite,a feeling of craving something
appetites,a feeling of craving something
appetizer,food or drink to stimulate the appetite (usually served before a meal or as the first course
appetizers,food or drink to stimulate the appetite (usually served before a meal or as the first course
appetizing,appealing to or stimulating the appetite especially in appearance or aroma
appetizingly,not found
applaud,clap one's hands or shout after performances to indicate approval
applauded,clap one's hands or shout after performances to indicate approval
applauding,clap one's hands or shout after performances to indicate approval
applauds,clap one's hands or shout after performances to indicate approval
applause,a demonstration of approval by clapping the hands together
apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
appleby,not found
appledore,not found
apples,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
appletreewick,not found
appliance,a device or control that is very useful for a particular job
appliances,a device or control that is very useful for a particular job
applicability,relevance by virtue of being applicable to the matter at hand
applicable,capable of being applied; having relevance
applicant,a person who requests or seeks something such as assistance or employment or admission
applicants,a person who requests or seeks something such as assistance or employment or admission
application,the act of bringing something to bear; using it for a particular purpose
applications,the act of bringing something to bear; using it for a particular purpose
applicator,a device for applying a substance
applicators,a device for applying a substance
applied,put into service; make work or employ for a particular purpose or for its inherent or natural purpose
applies,put into service; make work or employ for a particular purpose or for its inherent or natural purpose
appliqu�,not found
appliqu�d,not found
appliqu�ing,not found
appliqu�s,not found
apply,put into service; make work or employ for a particular purpose or for its inherent or natural purpose
applying,put into service; make work or employ for a particular purpose or for its inherent or natural purpose
appoint,create and charge with a task or function
appointed,create and charge with a task or function
appointee,an official who is appointed
appointees,an official who is appointed
appointing,create and charge with a task or function
appointive,relating to the act of appointing
appointment,the act of putting a person into a non-elective position
appointments,the act of putting a person into a non-elective position
appointor,not found
appointors,not found
appoints,create and charge with a task or function
apportion,distribute according to a plan or set apart for a special purpose
apportioned,distribute according to a plan or set apart for a special purpose
apportioning,the act of distributing by allotting or apportioning; distribution according to a plan
apportionment,the act of distributing by allotting or apportioning; distribution according to a plan
apportions,distribute according to a plan or set apart for a special purpose
apposer,not found
apposers,not found
apposite,being of striking appropriateness and pertinence
appositely,not found
apposition,a grammatical relation between a word and a noun phrase that follows
appositions,a grammatical relation between a word and a noun phrase that follows
appositive,relating to or being in apposition
appositives,not found
appraisal,the classification of someone or something with respect to its worth
appraisals,the classification of someone or something with respect to its worth
appraise,"evaluate or estimate the nature, quality, ability, extent, or significance of"
appraised,"evaluate or estimate the nature, quality, ability, extent, or significance of"
appraisement,not found
appraisements,not found
appraiser,one who estimates officially the worth or value or quality of things
appraisers,one who estimates officially the worth or value or quality of things
appraises,"evaluate or estimate the nature, quality, ability, extent, or significance of"
appraising,"evaluate or estimate the nature, quality, ability, extent, or significance of"
appraisingly,not found
appreciable,enough to be estimated or measured
appreciably,Not found
appreciate,recognize with gratitude; be grateful for
appreciated,recognize with gratitude; be grateful for
appreciates,recognize with gratitude; be grateful for
appreciating,recognize with gratitude; be grateful for
appreciation,not found
appreciative,feeling or expressive of gratitude
appreciatively,Not found
apprehend,get the meaning of something
apprehended,get the meaning of something
apprehending,get the meaning of something
apprehends,get the meaning of something
apprehensible,capable of being apprehended or understood
apprehension,fearful expectation or anticipation
apprehensions,fearful expectation or anticipation
apprehensive,quick to understand
apprehensively,Not found
apprentice,works for an expert to learn a trade
apprenticed,be or work as an apprentice
apprentices,works for an expert to learn a trade
apprenticeship,the position of apprentice
apprenticeships,the position of apprentice
apprenticing,be or work as an apprentice
apprise,inform (somebody
apprised,inform (somebody
apprises,inform (somebody
apprising,inform (somebody
approach,ideas or actions intended to deal with a problem or situation
approachability,the attribute of being easy to meet or deal with
approachable,capable of being read with comprehension
approached,move towards
approaches,ideas or actions intended to deal with a problem or situation
approaching,the event of one object coming closer to another
approbation,official approval
appropriate,give or assign a resource to a particular person or cause
appropriated,give or assign a resource to a particular person or cause
appropriately,Not found
appropriateness,appropriate conduct; doing the right thing
appropriates,give or assign a resource to a particular person or cause
appropriating,give or assign a resource to a particular person or cause
appropriation,money set aside (as by a legislature
appropriations,money set aside (as by a legislature
appropriator,someone who takes for his or her own use (especially without permission
appropriators,someone who takes for his or her own use (especially without permission
approval,the formal act of approving
approvals,the formal act of approving
approve,give sanction to
approved,give sanction to
approver,an authority with power to approve
approvers,an authority with power to approve
approves,give sanction to
approving,the formal act of approving
approvingly,Not found
approximate,be close or similar
approximated,be close or similar
approximately,Not found
approximates,be close or similar
approximating,be close or similar
approximation,an approximate calculation of quantity or degree or worth
approximations,an approximate calculation of quantity or degree or worth
appurtenance,equipment consisting of miscellaneous articles needed for a particular operation or sport etc.
appurtenances,equipment consisting of miscellaneous articles needed for a particular operation or sport etc.
appurtenant,furnishing added support
apraxia,inability to make purposeful movements
apricot,Asian tree having clusters of usually white blossoms and edible fruit resembling the peach
apricots,Asian tree having clusters of usually white blossoms and edible fruit resembling the peach
april,the month following March and preceding May
apron,a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing
aprons,a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing
apropos,of an appropriate or pertinent nature
aprs,the month following March and preceding May
apse,a domed or vaulted recess or projection on a building especially the east end of a church; usually contains the altar
apses,a domed or vaulted recess or projection on a building especially the east end of a church; usually contains the altar
apt,(usually followed by `to'
aptitude,inherent ability
aptitudes,inherent ability
aptly,Not found
aptness,a disposition to behave in a certain way
aqua,a shade of blue tinged with green
aquamarine,a transparent variety of beryl that is blue green in color
aquamarines,a transparent variety of beryl that is blue green in color
aquanaut,an underwater swimmer equipped with a face mask and foot fins and either a snorkel or an air cylinder
aquanauts,an underwater swimmer equipped with a face mask and foot fins and either a snorkel or an air cylinder
aquaplane,a board that is pulled by a speedboat as a person stands on it and skims over the top of the water
aquaplaned,rise up onto a thin film of water between the tires and road so that there is no more contact with the road
aquaplanes,a board that is pulled by a speedboat as a person stands on it and skims over the top of the water
aquaplaning,rise up onto a thin film of water between the tires and road so that there is no more contact with the road
aquaria,a tank or pool or bowl filled with water for keeping live fish and underwater animals
aquarium,a tank or pool or bowl filled with water for keeping live fish and underwater animals
aquariums,a tank or pool or bowl filled with water for keeping live fish and underwater animals
aquarius,(astrology
aquatic,a plant that lives in or on water
aquatics,a plant that lives in or on water
aquatint,an etching made by a process that makes it resemble a water color
aquatinted,etch in aquatint
aquatinting,etch in aquatint
aquatints,an etching made by a process that makes it resemble a water color
aqueduct,a conduit that resembles a bridge but carries water over a valley
aqueducts,a conduit that resembles a bridge but carries water over a valley
aqueous,similar to or containing or dissolved in water
aquifer,underground bed or layer yielding ground water for wells and springs etc
aquifers,underground bed or layer yielding ground water for wells and springs etc
aquilia,not found
aquiline,curved down like an eagle's beak
aquinas,(Roman Catholic Church
aquitaine,a region of southwestern France between Bordeaux and the Pyrenees
arab,a member of a Semitic people originally from the Arabian peninsula and surrounding territories who speaks Arabic and who inhabits much of the Middle East and northern Africa
arabesque,position in which the dancer has one leg raised behind and arms outstretched in a conventional pose
arabesques,position in which the dancer has one leg raised behind and arms outstretched in a conventional pose
arabia,a peninsula between the Red Sea and the Persian Gulf; strategically important for its oil resources
arabian,a member of a Semitic people originally from the Arabian peninsula and surrounding territories who speaks Arabic and who inhabits much of the Middle East and northern Africa
arabians,a member of a Semitic people originally from the Arabian peninsula and surrounding territories who speaks Arabic and who inhabits much of the Middle East and northern Africa
arabic,the Semitic language of the Arabs; spoken in a variety of dialects
arable,(of farmland
arabs,a member of a Semitic people originally from the Arabian peninsula and surrounding territories who speaks Arabic and who inhabits much of the Middle East and northern Africa
arachnid,air-breathing arthropods characterized by simple eyes and four pairs of legs
arachnids,air-breathing arthropods characterized by simple eyes and four pairs of legs
aragon,French writer who generalized surrealism to literature (1897-1982
aragonite,a mineral form of crystalline calcium carbonate; dimorphic with calcite
aramaic,a Semitic language originally of the ancient Arameans but still spoken by other people in southwestern Asia
arams,the biblical name for ancient Syria
aran,not found
arapaho,a member of a tribe of Plains Indians formerly inhabiting eastern Colorado and Wyoming (now living in Oklahoma and Wyoming
arapahos,a member of a tribe of Plains Indians formerly inhabiting eastern Colorado and Wyoming (now living in Oklahoma and Wyoming
arbiter,someone with the power to settle matters at will
arbiters,someone with the power to settle matters at will
arbitrable,appropriate for or subject to settlement by arbitration
arbitrage,a kind of hedged investment meant to capture slight differences in price; when there is a difference in the price of something on two different markets the arbitrageur simultaneously buys at the lower price and sells at the higher price
arbitrages,a kind of hedged investment meant to capture slight differences in price; when there is a difference in the price of something on two different markets the arbitrageur simultaneously buys at the lower price and sells at the higher price
arbitrageur,someone who engages in arbitrage (who purchases securities in one market for immediate resale in another in the hope of profiting from the price differential
arbitrageurs,someone who engages in arbitrage (who purchases securities in one market for immediate resale in another in the hope of profiting from the price differential
arbitrament,the act of deciding as an arbiter; giving authoritative judgment
arbitraments,the act of deciding as an arbiter; giving authoritative judgment
arbitrarily,Not found
arbitrariness,the trait of acting unpredictably and more from whim or caprice than from reason or judgment
arbitrary,based on or subject to individual discretion or preference or sometimes impulse or caprice
arbitrate,act between parties with a view to reconciling differences
arbitrated,act between parties with a view to reconciling differences
arbitrates,act between parties with a view to reconciling differences
arbitrating,act between parties with a view to reconciling differences
arbitration,often used to settle disputes between labor and management
arbitrator,someone chosen to judge and decide a disputed issue
arbitrators,someone chosen to judge and decide a disputed issue
arbor,tree (as opposed to shrub
arboreal,of or relating to or formed by trees
arboreta,a facility where trees and shrubs are cultivated for exhibition
arboretum,a facility where trees and shrubs are cultivated for exhibition
arboretums,a facility where trees and shrubs are cultivated for exhibition
arboriculture,the tending of and caring for trees
arboricultures,the tending of and caring for trees
arbors,tree (as opposed to shrub
arborvitae,any of several Asian and North American conifers of the genera Thuja and Thujopsis
arbour,a framework that supports climbing plants
arbours,a framework that supports climbing plants
arbroath,not found
arbutus,any of several evergreen shrubs of the genus Arbutus of temperate Europe and America
arbutuses,any of several evergreen shrubs of the genus Arbutus of temperate Europe and America
arc,electrical conduction through a gas in an applied electric field
arcade,a covered passageway with shops and stalls on either side
arcades,a covered passageway with shops and stalls on either side
arcadian,an inhabitant of Arcadia
arcadians,an inhabitant of Arcadia
arcane,requiring secret or mysterious knowledge
arced,form an arch or curve
arch,a curved shape in the vertical plane that spans an opening
archaeological,related to or dealing with or devoted to archaeology
archaeologically,not found
archaeologist,an anthropologist who studies prehistoric people and their culture
archaeologists,an anthropologist who studies prehistoric people and their culture
